datadate,oancf,gvkey,oibdp,ggroup,seq,at,dlc,emp,gsubind,fyear,dp,dltt,ppent,gsector,loc,ib,cogs,lt,ceq,conm,naics,rect,ebit,che,ebitda,gind,sic,act,xsga,revt,lct,invt,sale,isin,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
2024-12-31,60.9,200759,127.3,3520.0,530.7,1434.0,35.1,2.495,35201010.0,2024.0,40.5,635.9,485.3,35.0,DEU,26.4,461.9,903.3,530.7,BIOTEST AG,325414.0,206.8,86.8,119.5,127.3,352010.0,2836.0,809.5,91.3,726.2,160.1,479.5,726.2,DE0005227235,6.052998605299861,4.9745618993781795,11.952630129440925,17.52960616909942,3.635362159184797,5.056214865708932,2.061211742660837,0.7464084946908183,1.1982287544752213,1.2643678160919538,37.00836820083682,62.99163179916317,0.5064156206415621,291.062124248497,3.511605415860735,103.94106306802534,6.076541045866213,1.6372528173506318,2.844187963726297,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-09-30,247.319,238442,254.122,3510.0,2041.697,3393.2,27.071,5.73,35101010.0,2024.0,66.712,526.757,263.889,35.0,DEU,178.726,910.785,1336.721,2041.697,CARL ZEISS MEDITEC AG,334510.0,582.935,187.41,20.285,254.122,351010.0,3845.0,1212.483,558.131,2066.127,568.835,536.556,2066.127,DE0005313704,5.523105033596605,8.753796474207485,9.07059440198981,12.299437546675495,8.650291100208264,2.131519684970158,1.188265489992704,0.03566060456898749,0.2579995954345821,0.27125866374883245,60.17025226924437,39.3941117529176,0.6089022161971,360.58062827225126,3.5443522862754855,102.98073400134648,-1.1091274589575595,11.878833759105078,18.80572257930748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,120.3,206703,131.9,2010.0,554.9,1336.9,13.5,4.277,20104010.0,2024.0,59.7,242.8,461.3,20.0,DEU,-80.3,737.8,772.3,554.9,SGL CARBON SE,335991.0,161.1,72.2,148.0,131.9,201040.0,3620.0,673.9,132.9,1026.4,243.3,345.6,1026.4,DE0007235301,5.4005535193357765,-14.47107586952604,7.034294621979735,12.850740452065471,-7.8234606391270445,2.769831483764899,1.3493629264282776,0.6083025071927661,0.4375563164534151,0.4618850243287079,41.50647019223577,57.76797067843518,0.7677462787044655,239.98129530044426,6.371198013656115,57.28906858924395,-5.757047103112645,-9.214993888360713,-11.044093178036595,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,167.308,102218,298.517,3510.0,1535.15,3093.435,108.652,15.444,35101010.0,2024.0,134.376,286.928,507.144,35.0,DEU,124.408,1724.047,1556.639,1535.15,DRAEGERWERK AG,339112.0,913.964,164.141,230.599,298.517,351010.0,3841.0,1884.764,1014.549,3370.88,978.482,662.585,3370.88,DE0005550636,5.306107935030152,8.103963782040841,4.869381289158914,8.855758733624453,3.6906683121321433,1.926212234869931,1.2490561911205316,0.23567015029402685,0.18690551411914144,0.2576816597726606,49.62606293650909,50.320727605396584,1.0896883238212538,218.26469826469827,3.6881977845954546,98.96432385608506,-0.07778262601733088,-0.035998783667667844,1.799485861182526,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,198.663,102529,198.021,3510.0,1148.549,2097.867,26.377,10.079,35101020.0,2024.0,89.401,263.815,569.902,35.0,DEU,108.452,1044.456,901.799,1148.549,PAUL HARTMANN AG,339113.0,427.654,108.62,160.906,198.021,351010.0,3842.0,1094.778,795.331,2425.8,465.595,500.172,2425.8,DE0007474041,5.177639955249784,9.44252269602777,4.477698078984252,8.163121444471926,4.4707725286503415,2.3513525703669496,1.2770884567059353,0.3455921992289436,0.22969416193823686,0.2526596601451048,54.748418274371055,42.986471497001475,1.156317345189185,240.67863875384464,5.6723425947144195,64.34731222689422,2.4629459892122174,5.590936522133472,-0.8752950432730056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,305.3,284636,187.8,2010.0,1499.6,2488.6,214.8,6.019,20106010.0,2024.0,77.1,297.0,574.4,20.0,DEU,70.2,1637.2,989.0,1499.6,WACKER NEUSON SE,333120.0,266.2,110.7,35.6,187.8,201060.0,3531.0,1008.0,346.9,2234.9,558.6,621.9,2234.9,DE000WACK012,4.448284175841839,4.681248332888771,4.953241755783257,8.40306053962146,3.1410801378137725,1.8045112781954886,0.6911922663802363,0.06373075546007877,0.1980528140837557,0.3412910109362497,60.258780036968574,39.741219963031426,0.8980551313991804,371.3075261671374,8.395567242674682,43.475323280683696,-15.81980488907303,-5.909486180952028,-8.511931904544756,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2023-12-31,-1.343,222247,157.018,4510.0,1456.741,2364.646,6.648,4.707,45103020.0,2023.0,59.254,425.563,58.113,45.0,DEU,-5.227,181.482,907.905,1456.741,SOFTWARE GMBH,511210.0,160.769,97.764,130.007,157.018,451030.0,7372.0,1513.244,412.629,1000.181,444.979,0.0,1000.181,,4.13440320453886,-0.3588146417242324,9.774630791826679,15.69895848851358,-0.5226054084210758,3.4007087974938144,3.4007087974938144,0.2921643493288448,0.29213360508147984,0.2966972165951257,61.605035172283706,38.39496482771628,0.42297282553075594,212.48799660080732,6.221230461096356,58.67006571810502,4.384176970129605,-11.71439718787861,-5.784627702161737,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,10,True,4,Lower-Mid
2024-12-31,136.985,297222,149.363,2010.0,720.994,1436.628,69.603,6.041,20106020.0,2024.0,93.342,401.327,319.013,20.0,DEU,14.696,498.732,715.258,720.994,NORMA GROUP SE,3333.0,161.888,56.021,127.13,149.363,201060.0,3580.0,535.902,346.665,1161.69,259.501,219.941,1161.69,DE000A1H8BV3,3.8994785010455044,2.0382971286862306,4.822370856252529,12.857388804242095,1.2650534996427618,2.0651249898844326,1.2175714159097655,0.48990177301821575,0.5566301522620161,0.6531677101335102,50.186547944213814,49.78727965764276,0.8086226914691904,192.300943552392,7.1758870330104765,50.86479181192917,-5.229435336500798,-3.793667354638597,0.7841174507841275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,310.4,276585,718.2,1510.0,4669.2,9409.9,221.2,16.637,15101050.0,2024.0,472.7,1725.5,3596.5,15.0,DEU,241.0,4262.4,4572.9,4669.2,WACKER CHEMIE AG,325211.0,948.7,245.5,1215.4,718.2,151010.0,2821.0,4055.3,573.9,5721.8,1522.8,1795.5,5721.8,DE000WCH8881,2.60895439909032,5.161483765955624,4.29060785067636,12.551994127722047,4.211961270928729,2.663054898870502,1.4839768846861048,0.7981350144470712,0.3695493874753705,0.41692367000771013,49.620080978543875,48.596690719348764,0.6080617222287166,343.9201779166917,6.031200590281438,60.51863050089133,-10.627596763612502,6.273717022045533,1.5813896690682672,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,127.6,207096,109.749,3510.0,1295.93,1856.481,34.646,14.067,35102020.0,2024.0,62.6,114.998,764.444,35.0,DEU,43.351,1658.114,530.509,1295.93,RHOEN-KLINIKUM AG,622110.0,431.158,47.149,409.464,109.749,351020.0,8060.0,904.11,4.9,1595.619,404.853,37.46,1595.619,DE0007042301,2.5396974167793798,3.3451652481229694,2.954903394858046,6.878145722757124,2.716876647871453,2.233180932338404,2.140653521154592,1.011389319086187,0.08873781762903861,0.11547228631176067,69.80572383988847,28.57605329653253,0.8594857690436907,113.4299424184261,3.7007755857481475,98.62797447260282,8.99193226132342,4.854890416622437,40.431266846361204,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11,True,4,Lower-Mid
2024-12-31,344.5,319865,360.2,4530.0,2009.9,5084.4,82.5,3.825,45301010.0,2024.0,238.5,1440.8,3820.8,45.0,DEU,63.0,898.9,2869.2,2009.9,SILTRONIC AG,334413.0,188.4,121.7,663.7,360.2,453010.0,3674.0,1198.2,73.1,1412.8,570.3,308.3,1412.8,DE000WAF3001,2.3935960978679884,3.134484302701627,8.61409966024915,25.495469988674973,4.459229898074745,2.1009994739610733,1.560406803436788,1.1637734525688237,0.716851584655953,0.7578984029056172,39.53072142239006,56.43143733773896,0.2778695617968689,369.359477124183,7.498938428874734,48.67355605889015,-6.6719513806315245,12.863770560944744,-2.0987970309700454,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,-219.725,346413,86.975,2550.0,612.875,2208.487,248.153,,25504050.0,2024.0,44.925,925.4,143.801,25.0,DEU,20.894,5547.187,1595.612,612.875,AUTO1 GROUP SE,441120.0,414.441,42.05,615.792,86.975,255040.0,5500.0,1745.496,445.741,6271.911,665.355,696.731,6271.911,DE000A2LQ884,1.9040184524518369,3.4091780542524983,0.6704495647339384,1.3867384278890438,0.3331361047693438,2.6234055504204523,1.5762487694539007,0.9255089388371621,1.509932694268815,1.914832551499082,27.750899144980252,72.24910085501975,2.839913026429406,,15.13342309279246,24.118799676844905,14.810551664108473,29.553812518075183,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,9,True,4,Lower-Mid
2022-03-31,0.9,101768,142.1,3510.0,2492.6,5102.1,31.7,6.808,35102010.0,2021.0,73.1,160.2,352.9,35.0,DEU,-54.3,8464.8,2582.3,2492.6,MCKESSON EUROPE AG,424210.0,978.5,69.0,1909.4,142.1,351020.0,5122.0,4150.0,447.8,9257.1,2277.8,583.2,9257.1,DE000CLS1001,1.3523843123419768,-2.1784482066918076,0.745373821175098,1.5350379708548032,-0.5865767897073597,1.8219334445517603,1.565896918078848,0.8382649925366582,0.06427023991013399,0.07698788413704565,48.85439328903784,50.61249289508242,1.8143705533015817,1359.7385428907169,9.460500766479305,38.58146719815061,-44.7274616225124,-27.60206036354348,-67.87466968667421,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,8,True,4,Lower-Mid
2024-12-31,508.0,271763,583.0,1510.0,4586.0,9711.0,584.0,12.338,15101020.0,2024.0,560.0,2428.0,2140.0,15.0,DEU,-177.0,4508.0,5119.0,4586.0,LANXESS AG,325.0,1043.0,23.0,615.0,583.0,151010.0,2800.0,3449.0,1177.0,6366.0,1773.0,1348.0,6366.0,DE0005470405,0.23684481515806816,-3.8595726122982987,0.36129437637448947,9.158027018535972,-2.7803958529688972,1.9452904681331078,1.1849971799210377,0.34686971235194586,0.5294374182293938,0.6567815089402529,47.22479662238698,52.71341777365873,0.6555452579548965,515.9669314313503,6.103547459252157,59.801288092994035,-5.183199285075957,0.47594412829798927,12.35770876969311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,1431.0,102187,-30.0,2510.0,35108.0,42841.0,114.0,0.038,25102010.0,2024.0,1.0,7447.0,1.0,25.0,DEU,-20017.0,0.0,7733.0,35108.0,PORSCHE AUTOMOBIL HOLDING SE,336111.0,3.0,-31.0,2405.0,-30.0,251020.0,3711.0,2419.0,18.0,0.0,150.0,0.0,0.0,DE000PAH0038,-0.07236058915524847,-57.01549504386465,,,,16.126666666666665,16.126666666666665,16.033333333333335,0.21211689643386122,0.21536401959667312,81.94953432459559,18.050465675404403,0.0,0.0,0.0,,,-31.298309759774213,-9.523809523809534,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,590.8,100736,477.6,1510.0,6212.3,9353.5,62.5,10.835,15101030.0,2024.0,521.2,683.4,6060.5,15.0,DEU,-66.8,2824.3,3137.2,6212.3,K&S AG,32531.0,804.8,-43.6,524.1,477.6,151010.0,2870.0,2145.2,187.4,3653.1,709.8,678.3,3653.1,DE000KSAG888,-0.4661356711391458,-1.075286125911498,-1.1935068845637953,13.07382770797405,-1.8285839424050807,3.0222597914905607,2.066638489715413,0.7383770076077769,0.11000756563591584,0.12006825169421953,66.41684930774576,33.54038595178275,0.3905596835409205,337.15736040609136,4.539140159045726,80.41170512715229,-5.668026648763103,-1.2698178133378257,-5.346378963920662,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
2024-12-31,114.705,278310,83.748,2010.0,1713.743,3537.881,183.314,,20107010.0,2024.0,125.791,712.706,759.316,20.0,DEU,-146.841,5519.483,1817.166,1713.743,KLOCKNER & CO SE,423510.0,787.494,-42.043,120.793,83.748,201070.0,5051.0,2256.006,543.674,6632.193,983.341,1290.669,6632.193,DE000KC01000,-1.1883667087728502,-8.568437624544638,-0.6339230477762031,1.2627497420536464,-2.2140640358324917,2.294225502648623,0.9816909902058388,0.12283938125228176,0.41587682633860507,0.5228438569843903,48.439814680030224,51.36311820550211,1.8746229734691473,,8.421896547783222,43.33940673921884,-4.66339409427613,-8.516666015901265,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,4,Lower-Mid
